municipio;Ign/Branco;Serpente;Aranha;Escorpiao;Lagarta;Abelha;Outros
430003 Acegua;0;7;0;0;0;0;0
430005 agua Santa;1;0;43;1;3;1;0
430010 Agudo;1;47;3;0;2;1;1
430020 Ajuricaba;0;1;3;0;0;0;0
430030 Alecrim;0;3;1;1;0;0;1
430040 Alegrete;2;94;4;3;0;0;1
430045 Alegria;2;30;50;2;1;4;3
430047 Almirante Tamandare do Sul;0;0;5;0;0;0;0
430050 Alpestre;0;48;24;0;3;1;0
430055 Alto Alegre;0;4;11;0;2;0;0
430057 Alto Feliz;1;2;34;0;5;11;1
430060 Alvorada;0;0;2;0;1;0;0
430063 Amaral Ferrador;0;16;12;0;0;0;0
430064 Ametista do Sul;7;7;10;2;4;0;0
430066 Andre da Rocha;0;0;4;1;2;0;0
430070 Anta Gorda;1;4;27;0;1;0;0
430080 Antonio Prado;14;30;87;14;1;1;2
430085 Arambare;0;0;0;1;0;0;0
430087 Ararica;20;2;83;1;1;29;7
430090 Aratiba;1;14;31;5;8;0;1
430100 Arroio do Meio;2;12;253;0;5;22;2
430107 Arroio do Padre;1;4;22;2;8;0;0
430105 Arroio do Sal;3;7;34;45;5;14;7
430120 Arroio do Tigre;26;56;169;0;26;11;1
430110 Arroio dos Ratos;0;2;0;0;0;0;0
430130 Arroio Grande;0;13;0;0;0;0;0
430140 Arvorezinha;3;26;73;0;13;1;0
430150 Augusto Pestana;0;9;0;0;0;0;0
430155 aurea;1;3;4;0;1;0;0
430160 Bage;0;98;4;1;0;0;1
430163 Balneario Pinhal;10;7;10;3;6;3;2
430165 Barao;0;8;41;0;1;0;0
430170 Barao de Cotegipe;0;1;37;0;1;8;3
430175 Barao do Triunfo;4;14;51;5;51;3;8
430187 Barra do Quarai;0;0;0;0;0;2;0
430190 Barra do Ribeiro;0;2;7;2;3;0;0
430192 Barra do Rio Azul;0;0;1;0;1;0;0
430195 Barra Funda;3;0;16;0;1;5;4
430180 Barracao;10;21;113;43;7;22;2
430200 Barros Cassal;2;6;25;0;2;4;1
430205 Benjamin Constant do Sul;0;2;46;0;7;14;0
430210 Bento Goncalves;317;72;1490;6;425;1386;69
430215 Boa Vista das Missoes;0;0;0;1;0;0;0
430220 Boa Vista do Burica;1;36;107;80;2;33;1
430222 Boa Vista do Cadeado;1;0;1;0;1;0;0
430223 Boa Vista do Incra;0;0;1;0;0;0;0
430225 Boa Vista do Sul;0;0;1;0;0;0;0
430230 Bom Jesus;0;5;3;0;0;0;0
430235 Bom Principio;0;17;22;0;3;0;0
430237 Bom Progresso;0;0;1;0;0;0;0
430240 Bom Retiro do Sul;0;10;9;0;0;0;0
430245 Boqueirao do Leao;0;34;29;0;6;0;0
430250 Bossoroca;0;4;7;6;5;11;1
430258 Bozano;0;1;8;1;0;0;1
430260 Braga;2;1;6;8;1;0;0
430265 Brochier;0;2;0;0;0;0;0
430270 Butia;0;7;0;0;0;0;0
430280 Cacapava do Sul;2;81;31;13;9;16;2
430290 Cacequi;1;12;2;0;0;0;1
430300 Cachoeira do Sul;15;117;67;17;62;10;17
430310 Cachoeirinha;0;0;1;0;0;0;0
430320 Cacique Doble;3;10;76;2;1;0;0
430330 Caibate;0;21;59;3;6;13;2
430340 Caicara;2;31;11;6;3;2;0
430350 Camaqua;10;421;178;6;10;0;2
430355 Camargo;4;5;104;0;13;21;4
430360 Cambara do Sul;0;2;1;0;0;0;0
430367 Campestre da Serra;0;0;10;1;0;0;0
430370 Campina das Missoes;1;41;31;21;0;2;0
430380 Campinas do Sul;0;4;0;0;0;0;0
430390 Campo Bom;8;4;95;8;11;8;8
430400 Campo Novo;0;3;2;0;0;0;0
430410 Campos Borges;2;4;5;0;3;0;1
430420 Candelaria;0;39;68;2;5;0;0
430430 Cândido Godoi;1;29;82;16;1;7;4
430435 Candiota;0;7;0;0;0;0;0
430440 Canela;0;21;85;2;7;1;1
430450 Cangucu;0;288;27;0;0;0;0
430460 Canoas;2;4;11;0;0;0;0
430461 Canudos do Vale;0;0;1;0;0;0;0
430462 Capao Bonito do Sul;1;0;7;0;0;0;0
430463 Capao da Canoa;6;62;110;43;5;22;11
430465 Capao do Cipo;0;0;2;0;0;0;0
430466 Capao do Leao;14;3;95;13;12;5;8
430467 Capivari do Sul;0;1;3;1;0;0;0
430471 Caraa;2;3;28;1;1;2;0
430470 Carazinho;0;13;14;1;2;1;0
430480 Carlos Barbosa;1;24;161;0;50;4;3
430485 Carlos Gomes;0;2;13;0;1;0;1
430490 Casca;3;21;90;0;23;3;1
430495 Caseiros;0;1;1;0;0;0;0
430500 Catuipe;0;0;1;0;0;0;0
430510 Caxias do Sul;113;115;1218;23;98;123;63
430511 Centenario;0;0;5;0;1;0;0
430512 Cerrito;0;1;1;0;0;0;0
430513 Cerro Branco;0;4;13;0;1;0;2
430515 Cerro Grande;1;4;89;0;2;53;0
430517 Cerro Grande do Sul;0;7;0;0;0;0;0
430520 Cerro Largo;0;32;17;1;2;0;0
430530 Chapada;4;11;49;1;5;1;0
430535 Charqueadas;1;3;3;0;3;0;0
430537 Charrua;0;0;6;0;0;0;0
430540 Chiapetta;0;11;2;0;0;0;1
430544 Chuvisca;0;2;0;0;0;0;0
430545 Cidreira;2;1;13;0;0;2;0
430550 Ciriaco;6;19;124;1;8;0;1
430558 Colinas;1;0;84;0;0;7;0
430560 Colorado;0;2;12;0;1;0;0
430570 Condor;1;4;10;3;0;1;3
430580 Constantina;0;26;8;4;4;0;0
430583 Coqueiro Baixo;0;2;1;0;0;2;0
430585 Coqueiros do Sul;1;0;6;3;0;2;0
430590 Coronel Bicaco;0;2;1;6;0;1;0
430593 Coronel Pilar;1;4;15;0;8;14;0
430595 Cotipora;2;1;24;0;8;8;2
430597 Coxilha;2;0;3;0;0;0;0
430600 Crissiumal;11;102;228;22;1;40;12
430605 Cristal;5;3;88;8;5;4;4
430607 Cristal do Sul;0;4;4;0;1;0;1
