municipio;tipo;casos;densidade;pop;incidencia_pop;regional
430003 Acegua;Ign/Branco;0;2.84;4759;0;CRS 07 Bage
430005 agua Santa;Ign/Branco;1;12.76;3841;0.260348867;CRS 06 Passo Fundo
430010 Agudo;Ign/Branco;1;31.19;17085;0.058530875;CRS 04 Santa Maria
430020 Ajuricaba;Ign/Branco;0;22.44;7358;0;CRS 17 Ijui
430030 Alecrim;Ign/Branco;0;22.38;6736;0;CRS 14 Santa Rosa
430040 Alegrete;Ign/Branco;2;9.95;78003;0.025640039;CRS 10 Alegrete
430045 Alegria;Ign/Branco;2;24.91;4037;0.495417389;CRS 14 Santa Rosa
430047 Almirante Tamandare do Sul;Ign/Branco;0;7.79;2079;0;CRS 06 Passo Fundo
430050 Alpestre;Ign/Branco;0;24.42;7433;0;CRS 19 Frederico Westphalen
430055 Alto Alegre;Ign/Branco;0;16.15;1803;0;CRS 06 Passo Fundo
430057 Alto Feliz;Ign/Branco;1;36.84;3040;0.328947368;CRS 05 Caxias do Sul
430060 Alvorada;Ign/Branco;0;2743.94;208177;0;CRS 01 Porto Alegre
430063 Amaral Ferrador;Ign/Branco;0;12.54;6854;0;CRS 03 Pelotas
430064 Ametista do Sul;Ign/Branco;7;78.33;7576;0.923970433;CRS 19 Frederico Westphalen
430066 Andre da Rocha;Ign/Branco;0;3.75;1306;0;CRS 06 Passo Fundo
430070 Anta Gorda;Ign/Branco;1;25.00;6210;0.161030596;CRS 16 Lajeado
430080 Antonio Prado;Ign/Branco;14;36.92;13306;1.052156922;CRS 05 Caxias do Sul
430085 Arambare;Ign/Branco;0;7.11;3748;0;CRS 02 Porto Alegre
430087 Ararica;Ign/Branco;20;137.83;5395;3.707136237;CRS 01 Porto Alegre
430090 Aratiba;Ign/Branco;1;19.23;6601;0.151492198;CRS 11 Erechim
430100 Arroio do Meio;Ign/Branco;2;118.91;20272;0.098658248;CRS 16 Lajeado
430107 Arroio do Padre;Ign/Branco;1;21.96;2906;0.344115623;CRS 03 Pelotas
430105 Arroio do Sal;Ign/Branco;3;64.01;9050;0.331491713;CRS 18 Osorio
430120 Arroio do Tigre;Ign/Branco;26;39.74;13388;1.942037646;CRS 08 Cachoeira do Sul
430110 Arroio dos Ratos;Ign/Branco;0;31.94;14255;0;CRS 02 Porto Alegre
430130 Arroio Grande;Ign/Branco;0;7.35;18922;0;CRS 03 Pelotas
430140 Arvorezinha;Ign/Branco;3;37.64;10614;0.282645562;CRS 16 Lajeado
430150 Augusto Pestana;Ign/Branco;0;20.42;7091;0;CRS 17 Ijui
